round_id,prompt_len,proposed_len,accepted_len,accept_rate,reject_pos,draft_ms,target_ms,total_ms
0,7,4,0,0.000000,0,252.723000,271.384000,783.548000
1,8,4,0,0.000000,0,230.238000,246.274000,693.803000
2,9,4,0,0.000000,0,262.468000,256.684000,725.312000
3,10,4,0,0.000000,0,232.444000,245.114000,677.317000
4,11,4,0,0.000000,0,227.210000,237.424000,677.086000
5,12,4,0,0.000000,0,225.286000,256.917000,677.573000
6,13,4,0,0.000000,0,233.209000,238.887000,694.426000
7,14,4,0,0.000000,0,220.761000,241.292000,663.117000
8,15,4,0,0.000000,0,245.770000,250.977000,709.868000
9,16,4,0,0.000000,0,245.277000,244.370000,702.376000
10,17,4,0,0.000000,0,236.850000,235.409000,672.475000
11,18,4,0,0.000000,0,225.872000,236.612000,680.502000
