sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s,draft_vocab_convert_time_ms,draft_prompt_sync_time_ms,draft_decode_time_ms,draft_sampling_time_ms,draft_other_time_ms,draft_returned_tokens,draft_effective_tokens,target_verify_batch_tokens,draft_prompt_decode_calls,draft_prompt_decode_tokens,draft_decode_calls,draft_decode_tokens,target_verify_calls,draft_tok_per_s_in_spec,draft_decode_tok_per_s,verify_tok_per_s,draft_reuse_scan_time_ms,draft_kv_cache_edit_time_ms,draft_prompt_catchup_decode_time_ms,draft_eager_kv_decode_time_ms,draft_eager_kv_decode_calls,draft_eager_kv_decode_tokens
0,true_target_only,6947.971,0.000,6928.734,14.723,65,0,0,0.000000,9.355,0.000,0.000,0.000,0.000,0.000,0,0,65,0,0,0,0,65,0.000,0.000,9.381,0.000,0.000,0.000,0.000,0,0
1,spec_draft_max_0,14199.265,3900.820,10274.992,17.573,65,0,0,0.000000,4.578,0.000,2653.953,1244.071,2.590,0.206,0,0,65,1,212,65,65,65,0.000,52.248,6.326,0.080,0.105,2653.568,0.000,0,0
2,speculative,9591.537,2555.792,7018.964,15.093,67,59,44,0.745763,6.985,0.000,864.014,1678.323,12.710,0.745,59,59,82,1,212,82,82,23,23.085,48.858,11.683,0.026,0.669,863.050,453.408,23,23
3,true_target_only,7268.593,0.000,7250.249,14.116,65,0,0,0.000000,8.943,0.000,0.000,0.000,0.000,0.000,0,0,65,0,0,0,0,65,0.000,0.000,8.965,0.000,0.000,0.000,0.000,0,0
4,spec_draft_max_0,11938.796,1979.359,9939.435,14.531,65,0,0,0.000000,5.444,0.000,780.171,1196.386,2.567,0.235,0,0,65,1,212,65,65,65,0.000,54.330,6.540,0.072,0.146,779.627,0.000,0,0
5,speculative,9358.790,2534.118,6808.603,14.503,66,63,43,0.682540,7.052,0.000,894.843,1623.584,15.484,0.207,63,63,86,1,212,86,86,23,24.861,52.969,12.631,0.026,0.660,893.785,447.644,23,23
6,true_target_only,8329.631,0.000,8311.677,13.632,65,0,0,0.000000,7.803,0.000,0.000,0.000,0.000,0.000,0,0,65,0,0,0,0,65,0.000,0.000,7.820,0.000,0.000,0.000,0.000,0,0
7,spec_draft_max_0,11510.309,2213.998,9276.246,15.375,65,0,0,0.000000,5.647,0.000,883.289,1327.779,2.713,0.217,0,0,65,1,212,65,65,65,0.000,48.954,7.007,0.073,0.985,881.195,0.000,0,0
8,speculative,9934.365,2520.138,7394.517,15.824,65,54,43,0.796296,6.543,0.000,974.314,1531.699,13.836,0.289,54,54,76,1,212,76,76,22,21.427,49.618,10.278,0.026,0.583,973.487,494.333,22,22
