sample_id,mode,total_decode_time_ms,draft_time_ms,target_verify_time_ms,accept_reject_time_ms,generated_tokens,drafted_tokens,accepted_tokens,acceptance_rate,decode_tok_per_s
0,true_target_only,9679.999,0.000,9633.779,35.193,161,0,0,0.000000,16.632
1,spec_draft_max_0,13585.135,3207.831,10328.428,37.579,161,0,0,0.000000,11.851
2,speculative,10593.992,3382.624,7169.854,36.482,163,162,102,0.629630,15.386
3,true_target_only,9731.108,0.000,9685.275,35.140,161,0,0,0.000000,16.545
4,spec_draft_max_0,13052.857,3120.621,9882.455,37.475,161,0,0,0.000000,12.334
5,speculative,9875.268,3431.657,6400.957,38.039,168,163,120,0.736196,17.012
6,true_target_only,9870.785,0.000,9824.417,35.491,161,0,0,0.000000,16.311
7,spec_draft_max_0,12929.400,3108.746,9773.203,36.091,161,0,0,0.000000,12.452
8,speculative,11133.830,3501.867,7589.394,36.438,172,169,107,0.633136,15.448
9,true_target_only,9603.689,0.000,9557.637,35.246,161,0,0,0.000000,16.764
10,spec_draft_max_0,12726.610,3018.442,9660.330,35.305,161,0,0,0.000000,12.651
11,speculative,10588.967,3525.316,7022.744,35.958,161,168,104,0.619048,15.205
12,true_target_only,9657.070,0.000,9610.999,35.292,161,0,0,0.000000,16.672
13,spec_draft_max_0,13956.931,3607.234,10304.169,33.216,161,0,0,0.000000,11.535
14,speculative,10313.169,3670.016,6610.376,28.925,163,169,116,0.686391,15.805
